Id,Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
472,323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.8
473,480,0,0,192,0,936,721,90,54.28
474,349,0,0,192,0,1047,806,360,42.13
475,288,121,0,177,7,908,829,28,42.13
476,213.7,0,174.7,154.8,10.2,1053.5,776.4,14,33.73
477,251.4,0,118.3,188.5,5.8,1028.4,757.7,14,29.93
478,162,207,172,216,10,822,638,28,39.84
479,213.5,0,174.2,159.2,11.7,1043.6,771.9,56,51.26
480,315,137,0,145,5.9,1130,745,28,81.75
481,475,0,59,142,1.9,1098,641,28,57.23
482,178,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16
483,166.1,0,163.3,176.5,4.5,1058.6,780.1,28,21.54
484,252.3,0,98.8,146.3,14.2,987.8,889,56,55.83
485,190,190,0,228,0,932,670,180,46.93
486,325,0,0,184,0,1063,783,7,17.54
487,251.4,0,118.3,192.9,5.8,1043.6,754.3,100,40.15
488,238.1,0,94.1,186.7,7,949.9,847,14,25.69
489,342,38,0,228,0,932,670,90,50.46
490,212.1,0,121.6,180.3,5.7,1057.6,779.3,56,34.2
491,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,29.75
492,116,173,0,192,0,909.8,891.9,3,6.28
493,155.6,243.5,0,180.3,10.7,1022,697.7,28,37.36
494,387,20,94,157,14.3,938,845,56,56.34
495,166.8,250.2,0,203.5,0,975.6,692.6,90,43.57
496,397,17.2,158,167,20.8,967,633,28,55.65
497,528,0,0,185,6.9,920,720,28,56.83
498,252.3,0,98.8,146.3,14.2,987.8,889,14,42.29
499,213.8,98.1,24.5,181.7,6.7,1066,785.5,56,47.13
500,182,45.2,122,170.2,8.2,1059.4,780.7,100,48.67
501,236,0,0,194,0,968,885,14,12.84
502,108.3,162.4,0,203.5,0,938.2,849,3,2.33
503,200,200,0,190,0,1145,660,28,49.25
504,439,177,0,186,11.1,884.9,707.9,7,56.1
505,427.5,47.5,0,228,0,932,594,270,43.01
506,296,0,107,221,11,819,778,28,31.42
507,153.1,145,113,178.5,8,867.2,824,28,26.23
508,355.9,0,141.6,193.3,11,801.4,778.4,28,40.87
509,277,0,0,191,0,968,856,180,32.33
510,160,188,146,203,11,829,710,28,32.84
511,313.3,262.2,0,175.5,8.6,1046.9,611.8,7,42.8
512,439,177,0,186,11.1,884.9,707.9,28,66
513,250,0,95.7,191.8,5.3,948.9,857.2,100,41.16
514,212.1,0,121.6,180.3,5.7,1057.6,779.3,100,39.61
515,451,0,0,165,11.3,1030,745,28,78.8
516,281,0,0,185,0,1104,774,28,22.44
517,144.8,0,133.6,180.8,11.1,979.5,811.5,28,13.2
518,349,0,0,192,0,1047,806,28,32.72
519,304,76,0,228,0,932,670,180,50.95
520,297.8,137.2,106.9,201.3,6,878.4,655.3,28,53.52
521,272.8,105.1,81.8,209.7,9,904,679.7,28,37.17
522,401.8,94.7,0,147.4,11.4,946.8,852.1,3,41.1
523,393,0,0,192,0,940.6,785.6,90,48.85
524,314,145,113,179,8,869,690,28,46.23
525,304,76,0,228,0,932,670,28,47.81
526,323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.7
527,425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
528,277,0,0,191,0,968,856,90,31.25
529,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,7.4
530,190,190,0,228,0,932,670,90,42.33
531,132,207,161,179,5,867,736,28,33.3
532,252,0,0,185,0,1111,784,28,19.69
533,349,0,0,192,0,1047,806,7,18.13
534,522,0,0,146,0,896,896,28,74.99
535,500,0,0,200,0,1125,613,1,12.64
536,276,116,90,180,9,870,768,28,44.28
537,155,183,0,193,9,1047,697,28,18.28
538,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3,14.94
539,313.3,262.2,0,175.5,8.6,1046.9,611.8,3,28.8
540,166.1,0,163.3,176.5,4.5,1058.6,780.1,14,25.48
541,349,0,0,192,0,1056,809,3,15.87
542,170.3,155.5,0,185.7,0,1026.6,724.3,7,10.73
543,290.4,0,96.2,168.1,9.4,961.2,865,14,34.67
544,255,0,0,192,0,889.8,945,7,10.22
545,330.5,169.6,0,194.9,8.1,811,802.3,28,56.62
546,359,19,141,154,10.9,942,801,56,68.75
547,276.4,116,90.3,179.6,8.9,870.1,768.3,28,44.28
548,194.7,0,100.5,170.2,7.5,998,901.8,28,37.27
549,102,153,0,192,0,887,942,7,7.68
550,190,190,0,228,0,932,670,365,53.69
551,116,173,0,192,0,909.8,891.9,7,10.09
552,385,0,0,186,0,966,763,28,31.35
553,350,0,0,186,0,1050,770,7,20.28
554,475,0,0,228,0,932,594,90,42.23
555,165,128.5,132.1,175.1,8.1,1005.8,746.6,100,55.02
556,148.5,139.4,108.6,192.7,6.1,892.4,780,28,23.7
557,200,0,0,180,0,1125,845,7,7.84
558,198.6,132.4,0,192,0,978.4,825.5,360,44.3
559,350,0,0,203,0,974,775,180,32.72
560,310,143,0,168,10,914,804,28,45.3
561,310,142.8,0,167.9,10,914.3,804,28,45.3
562,145,0,179,202,8,824,869,28,10.54
563,139.6,209.4,0,192,0,1047,806.9,3,8.06
564,480,0,0,192,0,936.2,712.2,28,43.94
565,290.4,0,96.2,168.1,9.4,961.2,865,56,45.08
566,500,0,0,200,0,1125,613,7,33.21
567,181.4,0,167,169.6,7.6,1055.6,777.8,14,21.6
568,302,0,0,203,0,974,817,14,18.13
569,254,0,0,198,0,968,863,365,29.79
570,288.4,121,0,177.4,7,907.9,829.5,28,42.14
571,379.5,151.2,0,153.9,15.9,1134.3,605,3,28.6
572,239.6,359.4,0,185.7,0,941.6,664.3,28,39.44
573,277.1,0,97.4,160.6,11.8,973.9,875.6,56,51.04
574,149,236,0,176,13,847,893,28,32.96
575,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100,63.53
576,375,93.8,0,126.6,23.4,852.1,992.6,3,29
577,349,0,0,192,0,1056,809,90,40.66
578,382,0,0,185,0,1047,739,28,37.42
579,182,45.2,122,170.2,8.2,1059.4,780.7,28,31.27
580,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,3,21.29
581,356,0,142,193,11,801,778,28,40.87
582,376,0,0,214.6,0,1003.5,762.4,100,43.06
583,425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
584,333,0,0,192,0,931.2,842.6,3,15.62
585,166.8,250.2,0,203.5,0,975.6,692.6,7,15.75
586,213.7,0,174.7,154.8,10.2,1053.5,776.4,28,40.15
587,349,0,0,192,0,1047,806.9,3,15.05
588,251.4,0,118.3,188.5,5.8,1028.4,757.7,3,17.22
589,277,0,0,191,0,968,856,3,11.36
590,236,157,0,192,0,972.6,749.1,3,13.57
591,310,0,0,192,0,970,850,90,34.68
592,374.3,0,0,190.2,6.7,1013.2,730.4,28,39.06
593,387,20,94,157,13.9,938,845,28,46.68
594,298.1,0,107.5,163.6,12.8,953.2,784,28,35.87
595,317.9,0,126.5,209.7,5.7,860.5,736.6,28,40.06
596,375,93.8,0,126.6,23.4,852.1,992.6,56,60.2
597,387,20,94,157,11.6,938,845,3,34.77
598,297.2,0,117.5,174.8,9.5,1022.8,753.5,56,51.96
599,151.6,0,111.9,184.4,7.9,992,815.9,28,12.18
600,213.5,0,174.2,154.6,11.7,1052.3,775.5,100,59.3
601,295.7,0,95.6,171.5,8.9,955.1,859.2,3,22.95
602,275,0,0,183,0,1088,808,28,24.5
603,251.4,0,118.3,188.5,6.4,1028.4,757.7,100,44.21
604,145.4,0,178.9,201.7,7.8,824,868.7,28,10.54
605,220.8,147.2,0,185.7,0,1055,744.3,7,13.09
606,190.3,0,125.2,161.9,9.9,1088.1,802.6,56,38.56
607,144,170,133,192,8,814,805,28,29.87
608,190,190,0,228,0,932,670,28,40.86
609,148,175,0,171,2,1000,828,28,26.92
610,491,26,123,210,3.9,882,699,28,55.55
611,439,177,0,186,11.1,884.9,707.9,91,73.3
612,516,0,0,162,8.2,801,802,28,41.37
613,146,173,0,182,3,986,817,28,23.74
614,151.8,178.1,138.7,167.5,18.3,944,694.6,28,36.35
615,150.7,0,185.3,166.7,15.6,1074.5,678,28,13.46
616,168,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75
617,212,0,124.8,159,7.8,1085.4,799.5,3,19.52
618,297.2,0,117.5,174.8,9.5,1022.8,753.5,100,56.74
619,322,0,116,196,10,818,813,28,31.18
620,359,19,141,154,10.9,942,801,28,59.49
621,238.2,158.8,0,185.7,0,1040.6,734.3,28,26.91
622,238.1,0,0,185.7,0,1118.8,789.3,28,17.58
623,374,189.2,0,170.1,10.1,926.1,756.7,3,34.4
624,155.2,183.9,143.2,193.8,9.2,879.6,698.5,28,28.99
625,336,0,0,182,3,986,817,28,44.86
626,475,0,0,228,0,932,594,7,38.6
627,183.9,122.6,0,203.5,0,959.2,800,90,32.53
628,310,0,0,192,0,1012,830,7,17.24
629,321,164,0,190,5,870,774,28,57.21
630,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01
631,190.7,0,125.4,162.1,7.8,1090,804,100,40.57
632,182,45.2,122,170.2,8.2,1059.4,780.7,56,43.5
633,525,0,0,189,0,1125,613,270,67.11
634,194.7,0,100.5,165.6,7.5,1006.4,905.9,14,24.99
635,331,170,0,195,8,811,802,28,56.61
636,122.6,183.9,0,203.5,0,958.2,800.1,90,33.19
637,401.8,94.7,0,147.4,11.4,946.8,852.1,7,54.1
638,200,0,0,180,0,1125,845,28,12.25
639,200,133,0,192,0,965.4,806.2,90,43.25
640,213.5,0,174.2,159.2,11.7,1043.6,771.9,28,44.64
641,397,0,0,185.7,0,1040.6,734.3,7,25.45
642,212.5,0,100.4,159.3,8.7,1007.8,903.6,28,31.64
643,379.5,151.2,0,153.9,15.9,1134.3,605,7,47.1
644,212.1,0,121.6,180.3,5.7,1057.6,779.3,3,12.47
645,190.7,0,125.4,162.1,7.8,1090,804,28,26.4
646,194.7,0,100.5,170.2,7.5,998,901.8,56,43.39
647,213.7,0,174.7,154.8,10.2,1053.5,776.4,3,17.57
648,252,0,0,186,0,1111,784,7,11.47
649,295,0,0,185,0,1069,769,7,14.8
650,375,0,0,186,0,1038,758,7,26.06
651,349,0,0,192,0,1056,809,120,40.86
652,250,0,95.7,187.4,5.5,956.9,861.2,56,38.33
653,275.1,0,121.4,159.5,9.9,1053.6,777.5,3,23.8
654,531.3,0,0,141.8,28.2,852.1,893.7,91,59.2
655,359,19,141,154,10.9,942,801,3,25.12
656,168,42.1,163.8,121.8,5.7,1058.7,780.1,100,39.23
657,139.6,209.4,0,192,0,1047,806.9,90,39.36
658,190.3,0,125.2,166.6,9.9,1079,798.9,100,33.56
659,231.8,0,121.6,174,6.7,1056.4,778.5,56,42.7
660,310,0,0,192,0,1012,830,120,38.7
661,251.4,0,118.3,188.5,5.8,1028.4,757.7,28,29.65
662,382.5,0,0,185.7,0,1047.8,739.3,28,37.44
663,233.8,0,94.6,197.9,4.6,947,852.2,14,22.14
664,167,75.4,167,164,7.9,1007.3,770.1,100,56.81
665,152.7,144.7,0,178.1,8,999.7,822.2,28,19.01
666,380,95,0,228,0,932,594,365,43.7
667,150.9,0,183.9,166.6,11.6,991.2,772.2,28,15.57
668,446,24,79,162,11.6,967,712,3,23.35
669,212.5,0,100.4,159.3,8.7,1007.8,903.6,14,26.31
670,170.3,155.5,0,185.7,0,1026.6,724.3,28,25.73
671,405,0,0,175,0,1120,695,28,52.3
672,302,0,0,203,0,974,817,28,21.75
673,261.9,110.5,86.1,195.4,5,895.2,732.6,28,33.72
674,321.3,164.2,0,190.5,4.6,870,774,28,57.22
675,522,0,0,146,0,896,896,7,50.51
676,333,0,0,192,0,931.2,842.6,7,23.4
677,225,0,0,181,0,1113,833,7,11.17
678,339,0,0,185,0,1060,754,28,31.65
679,229.7,0,118.2,195.2,6.1,1028.1,757.6,14,22.32
680,313.3,145,0,178.5,8,1001.9,688.7,28,41.05
681,250,0,0,182,0,1100,820,7,12.73
682,159.1,186.7,0,175.6,11.3,989.6,788.9,28,32.77
683,388.6,97.1,0,157.9,12.1,852.1,925.7,28,50.7
684,475,118.8,0,181.1,8.9,852.1,781.5,3,37.8
685,313.3,0,113,178.5,8,1001.9,688.7,28,36.8
686,141.3,212,0,203.5,0,971.8,748.5,7,10.39
687,355,19,97,145,12.3,967,871,28,55.45
688,166.1,0,163.3,176.5,4.5,1058.6,780.1,56,28.63
689,266,114,0,228,0,932,670,28,45.85
690,140,133,103,200,7,916,753,28,36.44
691,194.7,0,100.5,165.6,7.5,1006.4,905.9,100,37.34
692,266,112,87,178,10,910,745,28,39.42
693,310,0,0,192,0,970,850,180,37.33
694,362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
695,305.3,203.5,0,203.5,0,965.4,631,3,14.14
696,362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
697,154.8,183.4,0,193.3,9.1,1047.4,696.7,28,18.29
698,424,22,132,178,8.5,822,750,7,39
699,286.3,200.9,0,144.7,11.2,1004.6,803.7,7,38
700,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51
701,255,99,77,189,6,919,749,28,33.8
702,387,20,94,157,13.9,938,845,56,47.97
703,213.5,0,174.2,154.6,11.7,1052.3,775.5,3,17.37
704,525,0,0,189,0,1125,613,14,48.4
705,333,0,0,192,0,931.2,842.6,90,41.68
706,275,180,120,162,10.4,830,765,28,76.24
707,154,144,112,220,10,923,658,28,16.5
708,525,0,0,189,0,1125,613,3,33.8
709,342,38,0,228,0,932,670,365,56.14
710,389.9,189,0,145.9,22,944.7,755.8,3,40.6
711,139.6,209.4,0,192,0,1047,806.9,7,14.59
712,425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
713,520,0,0,170,5.2,855,855,28,60.28
714,380,95,0,228,0,932,594,180,40.76
715,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28,55.51
716,425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
717,178,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
718,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,14,35.96
719,446,24,79,162,11.6,967,712,56,55.25
720,165,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42
721,158.4,0,194.9,219.7,11,897.7,712.9,28,8.54
722,250,0,95.7,191.8,5.3,948.9,857.2,28,27.22
723,362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
724,166,259.7,0,183.2,12.7,858.8,826.8,28,37.92
725,160,128,122,182,6.4,824,879,28,39.4
726,321.4,0,127.9,182.5,11.5,870.1,779.7,28,37.27
727,446,24,79,162,11.6,967,712,3,35.36
728,255.3,98.8,77,188.6,6.5,919,749.3,28,33.8
729,178,129.8,118.6,179.9,3.6,1007.3,746.8,3,20.73
730,388.6,97.1,0,157.9,12.1,852.1,925.7,56,55.2
731,349,0,0,192,0,1047,806,90,39.49
732,182,45.2,122,170.2,8.2,1059.4,780.7,3,7.32
733,387,20,94,157,14.3,938,845,7,36.84
734,331,0,0,192,0,879,825,3,13.52
735,296,0,0,192,0,1085,765,7,14.2
736,155,0,143,193,9,877,868,28,9.74
737,469,117.2,0,137.8,32.2,852.1,840.5,28,66.9
738,427.5,47.5,0,228,0,932,594,28,37.43
739,251.4,0,118.3,192.9,5.8,1043.6,754.3,28,33.27
740,250,0,95.7,191.8,5.3,948.9,857.2,56,39.64
741,250,0,95.7,187.4,5.5,956.9,861.2,28,29.22
742,277,0,0,191,0,968,856,28,25.97
743,236,157,0,192,0,972.6,749.1,7,20.42
744,249.1,0,98.8,158.1,12.8,987.8,889,28,30.85
745,277,0,0,191,0,968,856,360,33.7
746,475,118.8,0,181.1,8.9,852.1,781.5,91,74.19
747,424,22,132,178,8.5,822,750,56,65.7
748,190.7,0,125.4,162.1,7.8,1090,804,14,21.06
749,318,0,126,210,6,861,737,28,40.06
750,284,15,141,179,5.5,842,801,28,43.73
751,331,0,0,192,0,1025,821,90,37.91
752,190.7,0,125.4,162.1,7.8,1090,804,3,15.04
753,316.1,210.7,0,185.7,0,977,689.3,7,24.44
754,261,100,78,201,9,864,761,28,32.4
755,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56,53.77
756,200,133,0,192,0,965.4,806.2,28,30.44
757,366,187,0,191,7,824,757,28,65.91
758,296,0,0,186,0,1090,769,28,25.18
759,300,0,120,212,10,878,728,28,23.84
760,236,0,0,194,0,968,885,90,21.95
761,525,0,0,189,0,1125,613,180,61.92
762,147,115,89,202,9,860,829,28,19.99
763,152,178,139,168,18,944,695,28,36.35
764,150,237,0,174,12,1069,675,28,37.43
765,162,190.1,148.1,178.8,18.8,838.1,741.4,28,33.76
766,203.5,135.7,0,185.7,0,1076.2,759.3,28,22.63
767,446,24,79,162,11.6,967,712,28,57.03
768,236,0,0,194,0,968,885,28,18.42
769,139.6,209.4,0,192,0,1047,806.9,360,44.7
770,313,0,113,178,8,1002,689,28,36.8
771,250.2,166.8,0,203.5,0,977.6,694.1,90,47.71
772,251.4,0,118.3,188.5,6.4,1028.4,757.7,14,24.43
773,313,161,0,178,10,917,759,28,52.44
774,339,0,0,197,0,968,781,7,20.97
775,425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
776,252.5,0,0,185.7,0,1111.6,784.3,28,19.77
777,133,200,0,192,0,927.4,839.2,3,6.88
778,424,22,132,168,8.9,822,750,28,72.1
779,322,0,0,203,0,974,800,28,25.18
780,540,0,0,173,0,1125,613,28,67.31
781,183.9,122.6,0,203.5,0,959.2,800,7,10.79
782,155,184,143,194,9,880,699,28,28.99
783,342,38,0,228,0,932,670,270,55.06
784,251.4,0,118.3,188.5,5.8,1028.4,757.7,56,36.97
785,298.2,0,107,209.7,11.1,879.6,744.2,28,31.88
786,148.1,0,136.6,158.1,16.1,1001.8,830.1,28,17.96
787,491,26,123,210,3.9,882,699,7,33.49
788,143,169.4,142.7,190.7,8.4,967.4,643.5,28,29.73
789,200,133,0,192,0,965.4,806.2,3,11.41
790,362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
791,213.5,0,174.2,154.6,11.7,1052.3,775.5,56,51.43
792,393,0,0,192,0,940,758,28,39.58
793,284,15,141,179,5.5,842,801,56,44.52
794,135,0,166,180,10,961,805,28,13.29
795,424,22,132,178,8.5,882,750,3,32.01
796,491,26,123,201,3.9,822,699,3,29.55
797,162,214,164,202,10,820,680,28,30.65
798,250.2,166.8,0,203.5,0,977.6,694.1,3,9.73
799,279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.83
800,190.3,0,125.2,166.6,9.9,1079,798.9,14,19.42
801,249.1,0,98.8,158.1,12.8,987.8,889,14,28.68
802,233.8,0,94.6,197.9,4.6,947,852.2,100,34.56
803,485,0,0,146,0,1120,800,28,71.99
804,165,0,143.6,163.8,0,1005.6,900.9,14,16.88
805,166.1,0,163.3,176.5,4.5,1058.6,780.1,100,33.54
806,275.1,0,121.4,159.5,9.9,1053.6,777.5,100,58.61
807,154.8,183.4,0,193.3,9.1,877.2,867.7,28,23.79
808,380,95,0,228,0,932,594,7,32.82
809,231.8,0,121.6,174,6.7,1056.4,778.5,3,15.44
810,143,169,143,191,8,967,643,28,29.72
811,237.5,237.5,0,228,0,932,594,270,38.41
812,203.5,305.3,0,203.5,0,963.4,630,28,41.68
813,152.6,238.7,0,200,6.3,1001.8,683.9,28,26.86
814,491,26,123,201,3.9,822,699,56,61.86
815,424,22,132,168,8.9,822,750,56,74.36
816,181.4,0,167,169.6,7.6,1055.6,777.8,3,13.62
817,387,20,94,157,13.9,938,845,3,25.51
818,289,133.7,0,194.9,5.5,924.1,760.1,28,46.25
819,230,0,118.3,195.5,4.6,1029.4,758.6,56,31.54
820,331,0,0,192,0,978,825,3,13.52
821,286.3,200.9,0,144.7,11.2,1004.6,803.7,91,76.8
822,333,17.5,163,167,17.9,996,652,28,47.28
823,102,153,0,192,0,887,942,90,25.46
824,475,0,0,228,0,932,594,28,39.29
